stock_code,stock_name,trade_date,open_price,high_price,low_price,close_price,volume
005380,현대차,2020-03-19,75000,75900,65100,65900,3138004
005380,현대차,2020-03-20,67500,72400,65000,71100,3349914
005380,현대차,2020-03-23,67200,71000,66200,68900,2391540
005380,현대차,2020-03-24,71500,75800,69800,74800,2856282
005380,현대차,2020-03-25,79800,85600,78800,84500,4604452
005380,현대차,2020-03-26,85800,90200,82300,84900,3787074
005380,현대차,2020-03-27,89700,90000,84500,86400,2513938
005380,현대차,2020-03-30,82800,86400,82100,85400,1743720
005380,현대차,2020-03-31,87700,88700,86000,88700,2138183
005380,현대차,2020-04-01,88500,90100,85300,85400,2139848
005380,현대차,2020-04-02,85300,86800,83000,86600,1487243
005380,현대차,2020-04-03,86600,87000,85600,86300,1170052
005380,현대차,2020-04-06,86500,88800,85900,88800,1688599
005380,현대차,2020-04-07,92100,92500,88600,90400,2601711
005380,현대차,2020-04-08,89800,91900,88900,90000,1785939
005380,현대차,2020-04-09,92300,97900,91100,97100,3787201
005380,현대차,2020-04-10,97400,101500,96200,99700,2806785
005380,현대차,2020-04-13,98800,99000,97400,97800,1339638
005380,현대차,2020-04-14,98600,101500,97700,100000,1582587
005380,현대차,2020-04-16,98900,100500,98300,99100,1341452
005380,현대차,2020-04-17,101000,103500,100000,100500,1487879
005380,현대차,2020-04-20,100000,100500,97100,97600,2142176
005380,현대차,2020-04-21,96100,96500,91300,93500,3634142
005380,현대차,2020-04-22,90800,95200,89400,92600,3115871
005380,현대차,2020-04-23,93700,95100,92100,92400,3196313
005380,현대차,2020-04-24,91300,92300,90100,90100,2135488
005380,현대차,2020-04-27,90300,92500,90200,91600,1219677
005380,현대차,2020-04-28,92500,94400,92200,93200,1448692
005380,현대차,2020-04-29,93500,94000,92400,93600,1193284
